id,ra,dec,z,d_c,z_v,d_c_v,x_c,y_c,z_c,vx,vy,vz,vr,log_m,z_s,bulge_length,bulge_axis_ratio,bulge_angle,disk_length,disk_angle,disk_axis_ratio,ra_mag,dec_mag,Mass,
127496192,2.161942,0.678275,0.86318,2128.76,0.86488,2132.07,80.3,2127.1,25.2,165,270,-263,272.9,11.506,0.8649,0.0325364,0.338935,-21.1418,0.322451,-21.1418,0.338935,2.143735,0.669268,3.20627E+11,
127496320,0.051381,2.23647,0.86259,2127.62,0.86069,2123.9,1.91,2126,83.03,-79,-519,-104,-307.2,13.205,0.8607,0.0733555,0.675944,-22.978,0,-22.978,0.675944,0.038122,2.225451,1.60325E+13,
127496448,1.940371,1.496757,0.85939,2121.37,0.85851,2119.66,71.8,2119.43,55.41,49,64,-105,-141.2,12.065,0.8585,0.0299447,0.658245,-41.677,0.367327,-41.677,0.658245,1.922105,1.489424,1.16145E+12,
127496576,0.416453,2.699514,0.85926,2121.11,0.85966,2121.9,15.4,2118.7,99.9,-177,49,366,64.9,11.785,0.8597,0.0315337,0.807142,-172.224,0.371392,-172.224,0.807142,0.399247,2.690361,6.09537E+11,
127497216,0.264121,2.827559,0.86305,2128.51,0.86272,2127.86,9.8,2125.9,105,-174,-62,177,-54,13.463,0.8627,0.0794764,0.744128,-144.873,0.502834,-144.873,0.744128,0.248119,2.817695,2.90402E+13,
127497728,2.520998,0.232299,0.85929,2121.17,0.86033,2123.22,93.3,2119.1,8.6,-34,172,-339,169,13.124,0.8603,0.032035,0.878753,-1.12122,0.86872,-1.12122,0.878753,2.506016,0.222351,1.33045E+13,
127497984,2.457237,1.682262,0.85805,2118.76,0.85899,2120.59,90.8,2115.9,62.2,455,153,-735,150.7,11.678,0.859,0.0565835,0.273698,48.5987,0.713673,48.5987,0.273698,2.440472,1.676516,4.76431E+11,
127498112,2.912754,1.245279,0.86168,2125.85,0.86288,2128.17,108,2122.6,46.2,37,190,12,191.9,11.408,0.8629,0.0391936,0.482056,50.5992,0.184828,50.5992,0.482056,2.893414,1.239193,2.55859E+11,
127498240,2.686072,0.939394,0.863,2128.42,0.86384,2130.04,99.73,2125.8,34.89,164,-282,-186,134,13.217,0.8638,0.0770724,0.866059,72.1586,0.72324,72.1586,0.866059,2.668632,0.93026,1.64816E+13,
127498368,2.385608,1.685358,0.86477,2131.87,0.86475,2131.83,88.7,2129.1,62.7,636,-27,-97,-3.4,12.232,0.8648,0.152816,0.971648,116.652,0.83825,116.652,0.971648,2.368369,1.679151,1.70608E+12,
128913024,1.001781,0.439122,0.85667,2116.06,0.85831,2119.26,37,2115.68,16.22,-21,-8,247,263.9,12.278,0.8583,0.229723,0.655256,30.8151,1.13524,30.8151,0.655256,0.984001,0.42948,1.89671E+12,
128913152,1.506077,0.483835,0.85251,2107.9,0.85288,2108.65,55.4,2107.1,17.8,98,60,-141,61.4,11.371,0.8529,0.0106714,0.668197,82.9389,0.225006,82.9389,0.668197,1.485887,0.473092,2.34963E+11,
128913280,2.076205,0.246918,0.8544,2111.61,0.85685,2116.4,76.5,2110.2,9.1,80,395,-426,395.8,11.785,0.8569,0.0449588,0.488104,47.2566,0.820607,47.2566,0.488104,2.05795,0.236695,6.09537E+11,
